date,is_holiday
2016/1/1,1
2016/1/2,0
2016/1/3,0
2016/1/4,0
2016/1/5,0
2016/1/6,0
2016/1/7,0
2016/1/8,0
2016/1/9,0
2016/1/10,0
2016/1/11,0
2016/1/12,0
2016/1/13,0
2016/1/14,0
2016/1/15,0
2016/1/16,0
2016/1/17,0
2016/1/18,1
2016/1/19,0
2016/1/20,1
2016/1/21,0
2016/1/22,0
2016/1/23,0
2016/1/24,0
2016/1/25,0
2016/1/26,0
2016/1/27,0
2016/1/28,0
2016/1/29,0
2016/1/30,0
2016/1/31,0
2016/2/1,0
2016/2/2,0
2016/2/3,0
2016/2/4,0
2016/2/5,0
2016/2/6,0
2016/2/7,0
2016/2/8,0
2016/2/9,0
2016/2/10,0
2016/2/11,0
2016/2/12,0
2016/2/13,0
2016/2/14,1
2016/2/15,1
2016/2/16,0
2016/2/17,0
2016/2/18,0
2016/2/19,0
2016/2/20,0
2016/2/21,0
2016/2/22,0
2016/2/23,0
2016/2/24,0
2016/2/25,0
2016/2/26,0
2016/2/27,0
2016/2/28,0
2016/3/1,0
2016/3/2,0
2016/3/3,0
2016/3/4,0
2016/3/5,0
2016/3/6,0
2016/3/7,0
2016/3/8,0
2016/3/9,0
2016/3/10,0
2016/3/11,0
2016/3/12,0
2016/3/13,0
2016/3/14,0
2016/3/15,0
2016/3/16,0
2016/3/17,1
2016/3/18,0
2016/3/19,0
2016/3/20,0
2016/3/21,0
2016/3/22,0
2016/3/23,0
2016/3/24,0
2016/3/25,1
2016/3/26,0
2016/3/27,1
2016/3/28,0
2016/3/29,0
2016/3/30,0
2016/3/31,0
2016/4/1,0
2016/4/2,0
2016/4/3,0
2016/4/4,0
2016/4/5,0
2016/4/6,0
2016/4/7,0
2016/4/8,0
2016/4/9,0
2016/4/10,0
2016/4/11,0
2016/4/12,0
2016/4/13,0
2016/4/14,0
2016/4/15,0
2016/4/16,0
2016/4/17,0
2016/4/18,0
2016/4/19,0
2016/4/20,0
2016/4/21,0
2016/4/22,0
2016/4/23,1
2016/4/24,0
2016/4/25,0
2016/4/26,0
2016/4/27,0
2016/4/28,0
2016/4/29,0
2016/4/30,0
2016/5/1,0
2016/5/2,0
2016/5/3,0
2016/5/4,0
2016/5/5,0
2016/5/6,0
2016/5/7,0
2016/5/8,1
2016/5/9,0
2016/5/10,0
2016/5/11,0
2016/5/12,0
2016/5/13,0
2016/5/14,0
2016/5/15,0
2016/5/16,0
2016/5/17,0
2016/5/18,0
2016/5/19,0
2016/5/20,0
2016/5/21,0
2016/5/22,0
2016/5/23,0
2016/5/24,0
2016/5/25,0
2016/5/26,0
2016/5/27,0
2016/5/28,0
2016/5/29,0
2016/5/30,1
2016/5/31,0
2016/6/1,0
2016/6/2,0
2016/6/3,0
2016/6/4,0
2016/6/5,0
2016/6/6,0
2016/6/7,0
2016/6/8,0
2016/6/9,0
2016/6/10,0
2016/6/11,0
2016/6/12,0
2016/6/13,0
2016/6/14,1
2016/6/15,0
2016/6/16,0
2016/6/17,0
2016/6/18,0
2016/6/19,1
2016/6/20,0
2016/6/21,0
2016/6/22,0
2016/6/23,0
2016/6/24,0
2016/6/25,0
2016/6/26,0
2016/6/27,0
2016/6/28,0
2016/6/29,0
2016/6/30,0
